syd,did,wei
"1","163","2"
"1","164","2"
"1","165","1"
"1","187","2"
"1","306","2"
"1","307","1"
"1","308","2"
"1","309","2"
"1","354","1"
"1","401","1"
"1","411","1"
"1","513","1"
"1","546","2"
"1","722","1"
"2","56","3"
"2","179","2"
"2","236","1"
"2","388","2"
"2","539","1"
"2","540","1"
"2","557","1"
"2","600","1"
"2","793","2"
"2","795","1"
"3","44","1"
"3","106","1"
"3","108","0"
"3","707","2"
"3","209","2"
"3","250","1"
"3","294",""
"3","432",""
"3","439","1"
"3","568","3"
"3","660","1"
"3","720","1"
"4","20","1"
"4","22","2"
"4","23","2"
"4","25","1"
"4","206","2"
"5","93","1"
"5","212","2"
"5","372","1"
"5","378","2"
"5","520","0"
"5","548","1"
"5","574","2"
"5","595","2"
"5","732","1"
"6","140","2"
"6","191","2"
"6","204","1"
"6","302","2"
"6","321","0"
"6","350","0"
"6","492","2"
"6","532","1"
"6","565","1"
"6","662","1"
"6","689","2"
"6","729","2"
"7","1","1"
"7","102","1"
"7","219","1"
"7","350","1"
"7","546","1"
"7","557","0"
"7","637","3"
"7","678","1"
"7","723","0"
"7","729","2"
"7","776","2"
"7","793","2"
"7","813","1"
"8","55","1"
"8","208","1"
"8","222","1"
"8","340","2"
"8","424","1"
"8","436","2"
"8","455","1"
"8","484","2"
"8","491","2"
"8","652","1"
"8","828","0"
"8","830","1"
"9","253","2"
"9","263","1"
"9","307","1"
"9","341","0"
"9","345","1"
"9","394","2"
"9","399","2"
"9","403","0"
"9","450","1"
"9","712","0"
"10","32",""
"10","125","3"
"10","178","1"
"10","179","2"
"10","197","2"
"10","231","3"
"10","393","2"
"10","394","2"
"10","399","2"
"10","450","0"
"10","670","3"
"10","675","0"
"10","697","3"
"10","788","1"
"10","830","1"
"11","108","1"
"11","109","2"
"11","111","1"
"11","140","1"
"11","191","2"
"11","289","1"
"11","453","1"
"12","9","1"
"12","78","1"
"12","183","1"
"12","140","2"
"12","191","2"
"12","204","2"
"12","220","0"
"12","302","1"
"12","321","0"
"12","566","0"
"12","729","2"
"13","195","2"
"13","221","2"
"13","224","2"
"13","265","1"
"13","309","2"
"13","354","1"
"13","471","0"
"13","492","2"
"13","561","2"
"13","585","3"
"13","586","3"
"13","608","0"
"13","617","2"
"13","698","1"
"13","789","2"
"14","140","2"
"14","252","2"
"14","387","2"
"14","443","0"
"14","447","1"
"14","462","1"
"14","474","2"
"14","536","2"
"14","557","1"
"14","567","1"
"14","572","2"
"14","585","3"
"14","674","2"
"14","704","2"
"14","790","2"
"14","793","2"
"14","800","2"
"15","23","2"
"15","39","0"
"15","128","3"
"15","146","2"
"15","205","3"
"15","215","3"
"15","225","2"
"15","246","1"
"15","251","3"
"15","372","3"
"15","375","2"
"15","377","1"
"15","378","3"
"15","395","2"
"15","448","1"
"15","462","3"
"15","657","3"
"15","736","2"
"16","36","1"
"16","179","2"
"16","180","2"
"16","205","3"
"16","282","2"
"16","343","1"
"16","373","1"
"16","377","1"
"16","401","2"
"16","415",""
"16","549",""
"16","599","1"
"17","5","1"
"17","69","3"
"17","113","1"
"17","115","2"
"17","170","1"
"17","185","2"
"17","309","1"
"17","413","2"
"17","585","3"
"17","836","3"
"18","197","3"
"18","263","2"
"18","345","1"
"18","307","1"
"18","399","2"
"18","450","1"
"18","456","1"
"18","712","1"
"18","826","1"
"18","830","1"
"19","737","1"
"19","93","2"
"19","445","2"
"19","595","1"
"19","212","3"
"20","74","3"
"20","197","2"
"20","202","0"
"20","231","3"
"20","401","2"
"20","446","2"
"20","547","1"
"20","668","2"
"20","670","2"
"20","786","1"
"20","788","1"
"21","59","3"
"21","67","2"
"21","99","2"
"21","105","3"
"21","128","2"
"21","146","2"
"21","205","2"
"21","536","1"
"21","376","3"
"21","483","0"
"21","548",""
"21","775","2"
"22","756","3"
"22","214","2"
"22","454","0"
"22","508","0"
"22","523","2"
"22","527","3"
"22","528","3"
"22","529","3"
"22","576","0"
"22","748","1"
"22","743","1"
"23","87","0"
"23","148","2"
"23","535","2"
"23","536","2"
"23","572","2"
"23","642","0"
"23","785","2"
"24","87","0"
"24","148","2"
"24","167","0"
"24","535","2"
"24","536","2"
"24","572","2"
"24","642","0"
"24","785","2"
"25","61","2"
"25","121","1"
"25","140","2"
"25","191","2"
"25","220","1"
"25","302","2"
"25","321","1"
"25","414","1"
"25","639","2"
"25","689","1"
"25","729","2"
"25","740","1"
"26","14","1"
"26","98",""
"26","136","1"
"26","186","2"
"26","192","2"
"26","193","2"
"26","300","0"
"26","319","1"
"26","358","2"
"26","370","2"
"26","405",""
"26","469","1"
"26","524","1"
"26","527","2"
"26","563","3"
"26","704","2"
"26","748","1"
"26","774","0"
"26","799","1"
"27","87","0"
"27","173","0"
"27","191","2"
"27","209","2"
"27","454","0"
"27","553",""
"27","698","1"
"27","701",""
"27","704","2"
"27","748","2"
"27","750","1"
"27","782","1"
"28","59","3"
"28","68","1"
"28","99","3"
"28","146","1"
"28","310","3"
"28","368","2"
"28","376","3"
"28","597","1"
"28","775","1"
"28","811","2"
"28","838","2"
"29","140","2"
"29","163","2"
"29","224","1"
"29","252","2"
"29","327","2"
"29","387","2"
"29","447","1"
"29","455","1"
"29","462","2"
"29","474","2"
"29","536","2"
"29","557","1"
"29","572","2"
"29","585","3"
"29","790","2"
"29","773","1"
"29","704","2"
"29","793","2"
"29","800","1"
"30","32",""
"30","125","3"
"30","155","1"
"30","166","1"
"30","208","3"
"30","231","3"
"30","239","1"
"30","292",""
"30","317","2"
"30","328","1"
"30","347","2"
"30","421","1"
"30","422","1"
"30","423","1"
"30","442","1"
"30","447","3"
"30","517","0"
"30","522","1"
"30","580","1"
"30","666","1"
"30","668","1"
"30","671","1"
"30","675","0"
"30","697","3"
"30","714","1"
"30","783","0"
"30","786","3"
"30","819","1"
"30","821","1"
"30","833","3"
"30","841","3"
"31","822","1"
"31","75","2"
"31","304","2"
"31","550","3"
"31","126","1"
"31","386","1"
"31","70","1"
"32","1","1"
"32","163","1"
"32","165","1"
"32","197","1"
"32","179","2"
"32","513","1"
"32","637","3"
"32","659","2"
"32","788","0"
"32","793","2"
"33","89","1"
"33","95","0"
"33","96","0"
"33","201","1"
"33","511","0"
"33","513","1"
"33","609","0"
"33","611","1"
"33","637","3"
"33","792","2"
"33","793","2"
"33","794","1"
"34","61","0"
"34","140","2"
"34","191","2"
"34","220","2"
"34","321","0"
"34","410","2"
"34","449","1"
"34","552","2"
"34","738","2"
"34","751","1"
"34","752","0"
"35","124","1"
"35","140","2"
"35","183","1"
"35","276","0"
"35","321","1"
"35","323","1"
"35","324","1"
"35","565","1"
"35","581","1"
"35","582","1"
"35","621","1"
"35","724","2"
"35","747","0"
"35","751","1"
"36","159","3"
"36","54","0"
"36","59","1"
"36","177","2"
"36","210","1"
"36","302","0"
"36","308","2"
"36","399","3"
"36","462","1"
"36","687","3"
"36","730","1"
"36","736","1"
"37","284","1"
"37","388","2"
"37","285",""
"37","244","2"
"37","513","1"
"37","426","1"
"37","204","2"
"38","23","2"
"38","33","2"
"38","93","0"
"38","444","1"
"38","677","3"
"38","749","3"
"39","61","1"
"39","133","1"
"39","140","2"
"39","151","0"
"39","191","2"
"39","220","0"
"39","321","0"
"39","339",""
"39","751","1"
"40","30","3"
"40","83","1"
"40","143","0"
"40","147","1"
"40","152","2"
"40","184","2"
"40","191","2"
"40","251","3"
"40","253","2"
"40","331","2"
"40","332","0"
"40","339","2"
"40","344","3"
"40","395","1"
"40","593","1"
"40","672","2"
"40","710","3"
"40","735","1"
"40","736","3"
"40","816","0"
"41","128","1"
"41","153","0"
"41","173","1"
"41","319","1"
"41","329","3"
"41","462","2"
"41","469","2"
"41","536","2"
"41","748","1"
"41","790","2"
"42","581","1"
"42","8","1"
"42","302","2"
"42","747","1"
"43","29","1"
"43","205","3"
"43","247","3"
"43","331","2"
"43","334","2"
"43","335","2"
"43","336","1"
"43","337","1"
"43","448","1"
"43","661","1"
"44","33","1"
"44","146","2"
"44","174","2"
"44","175","1"
"44","234","1"
"44","266","1"
"44","365","2"
"44","367","1"
"44","573","1"
"44","650","0"
"44","651","0"
"44","653","2"
"44","693","0"
"44","810","0"
"44","835","1"
"45","61","1"
"45","62","2"
"45","63","1"
"45","121","1"
"45","140","1"
"45","191","2"
"45","220","1"
"45","321","0"
"45","349","1"
"45","350","0"
"45","356","2"
"45","420","1"
"45","533","0"
"45","678","1"
"45","690","3"
"45","711","1"
"45","729","2"
"46","26","3"
"46","37","2"
"46","190",""
"46","278","0"
"46","742","1"
"47","28","1"
"47","115","2"
"47","126","0"
"47","298","3"
"47","309","0"
"47","384","1"
"47","413","2"
"47","542","1"
"47","594","2"
"47","716","1"
"47","824","0"
"47","825","0"
"48","20","1"
"48","46","0"
"48","146","1"
"48","226","1"
"48","246","3"
"48","377","1"
"49","134","1"
"49","145","1"
"49","146","1"
"49","201","1"
"49","282","1"
"49","483","1"
"49","514","1"
"49","599","1"
"49","734","1"
"49","793","2"
"50","43","2"
"50","47","2"
"50","86","2"
"50","475","2"
"50","681","1"
"50","719","2"
"50","796","2"
"51","33","2"
"51","93","0"
"51","122","1"
"51","212","3"
"51","402","1"
"51","501","0"
"51","658","1"
"52","26","3"
"52","66","2"
"52","189","2"
"52","200","0"
"52","351","0"
"52","653","0"
"52","698","1"
"52","741","1"
"52","763","2"
"52","796","2"
"53","121","1"
"53","302","2"
"53","321","1"
"53","441","0"
"53","532","1"
"53","534","1"
"53","662","1"
"53","689","2"
"53","751","2"
"54","406","0"
"54","513","1"
"54","589","0"
"54","637","3"
"54","654","1"
"54","655","1"
"54","656","1"
"55","61","1"
"55","62","1"
"55","121","2"
"55","140","2"
"55","191","2"
"55","220","1"
"55","302","0"
"55","321","0"
"55","427","1"
"55","463","1"
"55","532","1"
"55","533","0"
"55","554","2"
"55","555",""
"55","613","0"
"55","678","0"
"55","691","2"
"55","729","2"
"56","40","2"
"56","57","2"
"56","232","0"
"56","271","0"
"56","273","2"
"56","293","2"
"56","296","2"
"56","325","2"
"56","407","0"
"56","418","2"
"56","429","2"
"56","478","2"
"56","672","2"
"56","708","2"
"56","764","0"
"57","140","2"
"57","183","1"
"57","191","2"
"57","204","2"
"57","302","1"
"57","321","0"
"57","350","0"
"57","532","1"
"57","565","1"
"57","678","1"
"57","689","1"
"57","729","2"
"57","810","0"
"58","126","0"
"58","140","2"
"58","191","2"
"58","204","2"
"58","302","2"
"58","321","0"
"58","427","1"
"58","532","1"
"58","613","0"
"58","689","1"
"58","724","2"
"58","729","2"
"58","810","0"
"59","21","2"
"59","39","2"
"59","45","0"
"59","71","0"
"59","126","0"
"59","168",""
"59","169","0"
"59","171","0"
"59","185","1"
"59","205","3"
"59","212","2"
"59","213","1"
"59","225","2"
"59","383","3"
"59","451","1"
"59","462","3"
"59","501","0"
"59","652","2"
"59","653","0"
"60","7","2"
"60","163","2"
"60","165","1"
"60","172","2"
"60","347","2"
"60","679","1"
"60","433","0"
"61","85","0"
"61","119",""
"61","211","1"
"61","318","1"
"61","327","2"
"61","352","0"
"61","525","0"
"61","526","2"
"61","649","0"
"61","770","2"
"61","777","3"
"62","71","0"
"62","280","2"
"62","291","1"
"62","387","2"
"62","494","1"
"62","495","2"
"62","510","1"
"62","542","2"
"62","661","3"
"62","773","1"
"62","780","0"
"63","497","2"
"63","498","2"
"63","499","2"
"63","500","2"
"64","60","1"
"64","97","2"
"64","228","2"
"64","329","1"
"64","348","0"
"64","507","2"
"64","454","0"
"64","504","0"
"64","663","0"
"64","688","1"
"64","758","1"
"64","832","0"
"64","830","1"
"65","184","0"
"65","253","2"
"65","505","2"
"65","560","0"
"65","602","0"
"66","31","2"
"66","128","1"
"66","184","2"
"66","215","3"
"66","307","2"
"66","308","2"
"66","409","2"
"66","469","2"
"66","492","1"
"66","549","1"
"67","131","1"
"67","219","1"
"67","350","1"
"67","760","0"
"67","771","2"
"67","812","1"
"67","834","2"
"68","118","2"
"68","140","2"
"68","150","2"
"68","320","1"
"68","431","2"
"68","759","1"
"69","128","1"
"69","133","1"
"69","146","2"
"69","183","2"
"69","322","1"
"69","369","2"
"69","428","1"
"69","442","2"
"69","483","1"
"69","565","1"
"69","757","0"
"69","776","2"
"69","778","3"
"69","833","2"
"70","199","1"
"70","377","1"
"70","590","0"
"70","727","2"
"71","6","3"
"71","34","2"
"71","49","1"
"71","64","3"
"71","84","1"
"71","91","2"
"71","123","1"
"71","176","2"
"71","196","2"
"71","223","1"
"71","217","2"
"71","379","3"
"71","391","1"
"71","503","2"
"71","829","1"
"72","96","0"
"72","201","0"
"72","392","0"
"72","511","1"
"72","792","2"
"72","793","2"
"73","50","2"
"73","129","3"
"73","383","2"
"73","492","2"
"73","541","2"
"74","77",""
"74","236","1"
"74","241","1"
"74","290","1"
"74","353","1"
"74","392","1"
"74","401","1"
"74","472","2"
"74","539","2"
"74","540","2"
"74","557","2"
"74","607","1"
"74","685",""
"74","784","0"
"75","160","2"
"75","511","2"
"75","351","2"
"75","490","0"
"75","696","2"
"75","781","0"
"75","791","0"
"76","313","2"
"76","79","1"
"76","558","0"
"76","603","2"
"77","6","3"
"77","34","2"
"77","49","1"
"77","64","3"
"77","84","1"
"77","91","2"
"77","123","1"
"77","128","3"
"77","161","0"
"77","176","2"
"77","223","1"
"77","217","2"
"77","379","3"
"77","400","1"
"77","391","1"
"77","669","0"
"77","416","1"
"77","503","2"
"77","570","1"
"77","640","1"
"77","829","1"
"78","15","0"
"78","236","2"
"78","277","0"
"78","315","1"
"78","316","1"
"78","473","0"
"78","342","2"
"78","362","1"
"78","396","0"
"78","482","1"
"78","772","1"
"79","19","1"
"79","46","2"
"79","51","2"
"79","93","1"
"79","101","0"
"79","117","2"
"79","225","3"
"79","303","0"
"79","369","2"
"79","398",""
"79","485","0"
"79","486","1"
"79","520","0"
"79","548","1"
"79","569","1"
"79","605","1"
"79","615","0"
"79","676","1"
"79","677","2"
"79","683","0"
"79","686","3"
"79","739","3"
"80","622",""
"80","623",""
"80","624",""
"80","625",""
"80","626",""
"80","627","2"
"80","628","2"
"80","629","2"
"80","630",""
"80","631",""
"80","632",""
"80","633",""
"80","634",""
"80","635","2"
"80","636","2"
"81","26","3"
"81","127","2"
"81","188","2"
"81","227","2"
"81","441","0"
"81","577","1"
"81","796","2"
"81","823","0"
"82","74","3"
"82","160","0"
"82","197","2"
"82","245","1"
"82","298","1"
"82","343","1"
"82","351","0"
"82","511","0"
"82","643","1"
"82","644","1"
"82","645","2"
"82","646","0"
"82","647","0"
"82","788","1"
"83","298","1"
"83","343","1"
"83","643","2"
"83","644","1"
"83","645","1"
"83","646","1"
"84","16","2"
"84","27","2"
"84","181","2"
"84","329","1"
"84","506","1"
"84","664","2"
"84","710","1"
"84","790","2"
"84","832","0"
"85","249","1"
"85","361","1"
"85","388","2"
"85","513","1"
"85","484","2"
"85","530","1"
"85","682","0"
"85","754","0"
"85","755","3"
"85","807","0"
"86","248","0"
"86","249","1"
"86","338","1"
"86","361","2"
"86","388","2"
"86","484","2"
"86","530","1"
"86","682","0"
"86","718","1"
"86","754","0"
"86","755","3"
"86","807","0"
"87","23","2"
"87","107","1"
"87","128","1"
"87","146","1"
"87","184","2"
"87","227","2"
"87","239","1"
"87","251","1"
"87","281","2"
"87","371","0"
"87","372","3"
"87","375","2"
"87","441","0"
"87","462","2"
"87","483","0"
"87","541","3"
"87","587","3"
"87","653","0"
"87","657","1"
"87","702","1"
"87","736","1"
"87","833","1"
"88","65","2"
"88","69","3"
"88","113","1"
"88","114","1"
"88","170","1"
"88","185","2"
"88","279","0"
"88","492","2"
"88","583","2"
"88","585","3"
"88","586","1"
"88","616","2"
"88","618","0"
"88","715","1"
"89","121","1"
"89","165","0"
"89","236","1"
"89","360","1"
"89","382","1"
"89","492","1"
"89","544","0"
"89","667","1"
"89","700","1"
"90","28","2"
"90","506","2"
"90","137","0"
"90","135","1"
"90","132","0"
"90","704","2"
"90","725","0"
"91","4","2"
"91","72","2"
"91","120","3"
"91","191","2"
"91","410","2"
"92","237","1"
"92","820","3"
"92","515","2"
"93","218","1"
"93","572","2"
"93","674","2"
"93","731","2"
"93","768","2"
"93","790","2"
"94","103","1"
"94","107","3"
"94","144","2"
"94","146","2"
"94","239","2"
"94","251","2"
"94","322","1"
"94","413","2"
"94","462","2"
"94","483","0"
"94","488","1"
"94","531","0"
"94","775","2"
"95","94","1"
"95","182","2"
"95","116","2"
"95","746","0"
"96","10",""
"96","90","1"
"96","175","3"
"96","235","2"
"96","389","0"
"96","452","2"
"96","502","1"
"96","601","1"
"97","212","3"
"97","677","2"
"97","21","3"
"97","225","3"
"98","80","1"
"98","103","1"
"98","127","0"
"98","146","2"
"98","216","1"
"98","218","1"
"98","252","2"
"98","257","0"
"98","258","1"
"98","259","2"
"98","262","1"
"98","264","2"
"98","265","1"
"98","309","2"
"98","320","1"
"98","412","0"
"98","458","1"
"98","488","1"
"98","568","2"
"98","572","2"
"98","660","2"
"98","744","0"
"98","766","0"
"98","767","0"
"99","2","0"
"99","41","2"
"99","58","0"
"99","233","0"
"99","272","2"
"99","275","2"
"99","295","2"
"99","297","2"
"99","326","2"
"99","408",""
"99","419","1"
"99","430","2"
"99","479","0"
"99","673",""
"99","709","1"
"99","765","1"
"100","61","1"
"100","124","1"
"100","140","0"
"100","191","2"
"100","220","2"
"100","321","0"
"100","323","1"
"100","324","1"
"100","410","1"
"100","552","2"
"100","565","0"
"100","738","1"
"100","751","0"
"100","752","0"
"100","765","0"
"101","138","2"
"101","209","2"
"101","229","2"
"101","381","2"
"101","562","2"
"101","620","2"
"102","3","3"
"102","73","2"
"102","158","1"
"102","269","2"
"102","270","2"
"102","274","3"
"102","330","3"
"102","480","3"
"102","509","3"
"103","125","3"
"103","198","1"
"103","231","3"
"103","317","1"
"103","668","1"
"103","697","3"
"104","31","1"
"104","82","0"
"104","107","3"
"104","145","2"
"104","146","2"
"104","239","2"
"104","251","2"
"104","350","0"
"104","462","2"
"104","483","1"
"104","551","1"
"104","638","0"
"104","736","2"
"104","761","2"
"104","775","2"
"105","230","1"
"105","267","1"
"105","539","0"
"105","802","0"
"105","803","2"
"106","149","1"
"106","240","0"
"106","538","0"
"106","797","0"
"106","801","1"
"106","827","0"
"107","236","2"
"107","470","1"
"107","473","0"
"107","578","2"
"107","579","1"
"107","798","1"
"108","77","2"
"108","127","2"
"108","154","1"
"108","160","2"
"108","242","1"
"108","305","2"
"108","511","2"
"108","557","2"
"108","781","2"
"108","803","1"
"108","817","0"
"109","77","2"
"109","464","0"
"110","77","2"
"110","81","2"
"110","160","2"
"110","313","2"
"110","425",""
"110","464","1"
"110","706","0"
"110","777","1"
"110","805","2"
"111","21","3"
"111","82","0"
"111","88","2"
"111","129","3"
"111","184","2"
"111","536","2"
"111","434","2"
"111","461","1"
"111","469","1"
"111","476","2"
"111","537",""
"111","535","1"
"111","812","1"
"111","814","1"
"111","815","1"
"111","818","2"
"112","14","1"
"112","107","1"
"112","144","1"
"112","146","2"
"112","186","0"
"112","192","2"
"112","193","2"
"112","213","2"
"112","319","1"
"112","468","1"
"112","469","2"
"112","483","0"
"112","524","1"
"112","527","2"
"112","528","1"
"112","529","2"
"112","576","0"
"112","638","0"
"112","641","1"
"112","748","1"
"112","756","1"
"112","775","2"
"112","799","2"
"113","128","1"
"113","215","3"
"113","308","2"
"113","409","1"
"113","469","2"
"113","492","1"
"113","546","2"
"114","103","1"
"114","322","1"
"114","363","2"
"114","371","1"
"114","372","3"
"114","374","1"
"114","446","1"
"114","477","1"
"114","483","1"
"114","488","1"
"114","565","0"
"114","588","1"
"114","653","0"
"114","661","1"
"115","133","1"
"115","146","2"
"115","183","2"
"115","350","1"
"115","564","1"
"115","775","2"
"116","39","2"
"116","45","0"
"116","126","2"
"116","130","1"
"116","168","1"
"116","185","2"
"116","212","2"
"116","213","2"
"116","287","2"
"116","291","1"
"116","347","0"
"116","371","0"
"116","373","1"
"116","375","3"
"116","377","1"
"116","384","2"
"116","387","2"
"116","441","0"
"116","442","2"
"116","483","1"
"116","541","2"
"116","587","2"
"116","732","2"
"116","833","2"
"117","199","1"
"70","592","2"
"118","133","1"
"118","140","2"
"118","191","2"
"118","203","0"
"118","302","2"
"118","321","0"
"118","532","1"
"118","542","1"
"118","613","0"
"118","689","2"
"118","724","2"
"2","513","1"
"7","42","0"
"36","536","2"
"36","790","2"
"36","793","1"
"41","251","1"
"41","704","2"
"46","38","3"
"47","768","2"
"49","721","2"
"50","38","2"
"53","542","2"
"57","662","0"
"58","542","0"
"58","662","0"
"61","531","0"
"64","364","1"
"66","165","0"
"68","531","0"
"68","571","1"
"72","513","1"
"72","637","3"
"79","595","2"
"79","604","2"
"79","614","0"
"82","612","1"
"84","704","2"
"88","617","2"
"88","38","2"
"89","18","1"
"93","531","0"
"94","551","1"
"98","531","0"
"98","842","0"
"103","670","3"
"105","516","1"
"113","165","1"
"114","833","1"
"116","652","2"
"116","653","0"
"116","783","0"
"118","662","0"
"82","849","1"
"83","849","1"
"3","849","0"
"15","848","3"
"28","848","3"
"93","252","2"
"119","16","2"
"120","218","1"
"120","572","2"
"120","674","2"
"120","731","2"
"120","768","2"
"120","790","2"
"120","531","0"
"120","252","1"
"121","483","0"
"121","551","1"
"121","372","3"
"121","23","2"
"121","280","2"
"122","848","3"
"122","281","1"
"122","372","3"
"122","551","0"
"122","23","2"
"122","565","0"
"121","851","1"
"122","851","1"
"52","852","0"
"68","852","0"
"116","852","0"
"123","446","1"
"123","852","1"
"123","126","1"
"123","117","2"
"123","21","2"
"123","225","1"
"123","46","2"
"123","197","2"
"123","788","1"
"123","172","1"
"123","213","2"
"123","424","0"
"123","212","2"
"55","853","1"
"15","207","1"
"28","128","1"
"28","205","3"
"28","372","3"
"125","21","2"
"125","39","2"
"125","45","1"
"125","71","1"
"125","126","1"
"125","168","1"
"125","171","0"
"125","212","2"
"125","225","1"
"125","451","1"
"125","377","1"
"125","653","0"
"19","377","0"
"126","5","1"
"126","26","3"
"126","38","2"
"126","37","1"
"126","531","0"
"127","54","2"
"127","159","2"
"127","177","2"
"127","192","1"
"127","210","2"
"127","280","2"
"127","388","1"
"127","399","2"
"127","462","2"
"127","536","2"
"127","585","2"
"127","730","2"
"127","755","2"
"127","790","2"
"127","793","2"
"84","854","1"
"128","54","2"
"128","56","2"
"128","159","2"
"128","177","2"
"128","192","2"
"128","287","2"
"128","399","2"
"128","462","2"
"128","536","2"
"128","690","2"
"128","687","2"
"128","736","2"
"128","755","2"
"128","793","2"
"129","38","3"
"129","65","2"
"129","69","1"
"129","114","1"
"129","170","1"
"129","185","2"
"129","855","2"
"130","568","3"
"130","38","3"
"130","413","1"
"130","715","1"
"130","531","0"
"130","412","0"
"130","252","2"
