syd,did,wei
"131","118","2"
"131","852","2"
"131","474","2"
"131","150","2"
"131","155","1"
"131","208","1"
"131","404","2"
"131","675","0"
"131","743","2"
"131","774","0"
"114","858","0"
"132","39","2"
"132","205","2"
"132","212","2"
"132","857","1"
"132","446","1"
"132","451","1"
"132","377","1"
"132","126","0"
"132","783","0"
"132","45","1"
"132","213","2"
"132","383","3"
"131","856","1"
"125","852","1"
"125","856","0"
"125","858","0"
"52","856","0"
"133","860","1"
"133","17","2"
"133","69","1"
"133","208","1"
"133","441","0"
"133","442","3"
"133","455","2"
"133","474","2"
"133","666","3"
"133","674","1"
"133","694","0"
"133","512","2"
"133","714","1"
"133","743","1"
"133","773","1"
"133","786","1"
"133","327","1"
"133","692","1"
"67","862","1"
"67","152","3"
"67","153","1"
"41","736","1"
"134","128","3"
"134","135","1"
"134","136","1"
"134","137","0"
"134","142","1"
"134","144","3"
"134","146","2"
"134","251","3"
"134","329","3"
"134","337","3"
"134","441","0"
"134","442","2"
"134","642","0"
"134","735","3"
"134","736","3"
"134","131","1"
"134","812","1"
"134","833","3"
"104","864","0"
"104","131","1"
"104","812","1"
"89","865","2"
"67","865","1"
"87","861","1"
"135","441","0"
"135","462","3"
"135","536","2"
"135","474","2"
"135","731","2"
"135","572","2"
"135","704","2"
"135","239","1"
"135","833","1"
"135","387","2"
"135","859","2"
"135","442","1"
"135","106","1"
"135","337","1"
"135","822","2"
"41","868","1"
"41","870","2"
"41","873","1"
"41","874","1"
"134","866","1"
"134","868","1"
"134","869","2"
"134","870","1"
"134","873","1"
"134","873","2"
"115","867","0"
"115","866","1"
"115","865","1"
"115","868","0"
"115","869","2"
"115","873","2"
"15","868","0"
"15","870","1"
"87","873","2"
"87","875","2"
"94","867","0"
"112","867","1"
"104","868","0"
"111","869","2"
"111","107","1"
"128","870","2"
"49","870","2"
"112","870","2"
"67","872","1"
"115","872","1"
"112","873","2"
"22","874","2"
"112","874","2"
"29","875","1"
"61","875","1"
"131","875","1"
"88","876","1"
"29","876","1"
"73","67","2"
"73","467","0"
"123","875","1"
"123","875","1"
"123","876","1"
"81","877","2"
"136","878","1"
"136","19","2"
"136","45","2"
"136","51","2"
"136","117","2"
"136","119","0"
"136","225","3"
"136","303","0"
"136","415","0"
"136","452","2"
"136","548","2"
"136","569","0"
"136","574","0"
"136","717","1"
"136","732","0"
"26","879","2"
"61","881","2"
"137","31","1"
"137","83","1"
"137","106","1"
"137","107","3"
"137","128","3"
"137","144","1"
"137","184","2"
"137","239","3"
"137","250","1"
"137","251","3"
"137","365","2"
"137","462","3"
"137","641","1"
"137","710","1"
"137","735","2"
"137","736","1"
"137","762","1"
"137","786","1"
"137","833","1"
"137","861","1"
"137","866","1"
"137","868","0"
"137","869","1"
"137","870","3"
"137","873","1"
"137","874","2"
"138","69","3"
"138","115","2"
"138","176","1"
"138","224","1"
"138","238","2"
"138","260","1"
"138","346","1"
"138","439","1"
"138","458","1"
"138","493","2"
"138","512","1"
"138","561","3"
"138","585","3"
"138","832","0"
"81","66","2"
"139","37","3"
"139","66","2"
"139","741","2"
"139","190","2"
"139","200","0"
"139","278","0"
"139","304","2"
"139","336","0"
"139","396","0"
"139","577","2"
"139","606","1"
"139","675","0"
"139","728","1"
"139","742","0"
"139","38","3"
"139","26","3"
"81","890","2"
"62","859","1"
"84","387","0"
"84","859","0"
"93","387","0"
"136","891","2"
"95","892","3"
"95","893","3"
"3","892","3"
"3","893","3"
"81","140","2"
"131","893","3"
"50","893","3"
"136","857","2"
"62","858","1"
"53","858","0"
"27","858","1"
"81","860","1"
"144","736","3"
"145","736","3"
"145","83","3"
"145","144","3"
"145","147","1"
"145","251","3"
"145","344","3"
"145","395","3"
"145","184","2"
"145","593","2"
"145","710","3"
"145","735","3"
"145","736","3"
"145","812","1"
"101","881","2"
"146","593","2"
"146","857","2"
"146","887","2"
"146","878","2"
"146","51","2"
"146","212","3"
"146","93","2"
"146","677","1"
"146","676","0"
"146","286","1"
"146","417","2"
"146","894","2"
"147","95","1"
"147","406","2"
"147","609","1"
"147","96","1"
"147","655","3"
"147","654","1"
"147","656","1"
"147","513","2"
"147","89","1"
"147","793","2"
"147","637","3"
"147","703","2"
"147","829","1"
"148","721","1"
"148","864","0"
"148","146","1"
"148","201","1"
"148","483","1"
"148","213","0"
"148","89","1"
"148","609","1"
"148","95","0"
"148","611","1"
"148","48","1"
"148","187","2"
"148","20","1"
"146","19","2"
"146","159","2"
"149","895","1"
"149","21","2"
"149","169","1"
"149","6","3"
"149","347","2"
"149","679","1"
"149","903","2"
"60","895","0"
"123","895","0"
"81","896","2"
"150","897","3"
"150","252","2"
"150","551","1"
"150","22","2"
"150","146","2"
"130","897","3"
"129","897","3"
"129","115","2"
"81","898","1"
"149","898","3"
"139","900","2"
"139","901","2"
"139","902","1"
"81","900","2"
"81","901","2"
"151","773","1"
"151","462","3"
"151","883","2"
"151","208","1"
"151","786","1"
"151","875","1"
"151","327","2"
"151","328","1"
"151","512","3"
"151","455","2"
"151","666","3"
"151","674","2"
"151","743","1"
"151","833","1"
"151","904","3"
"29","904","1"
"135","904","1"
"133","905","2"
"27","905","1"
"81","905","2"
"152","905","2"
"152","896","2"
"152","882","2"
"152","120","3"
"152","140","2"
"152","698","1"
"152","728","2"
"152","4","2"
"151","906","0"
"131","906","2"
"68","906","2"
"151","907","1"
"139","907","1"
"87","909","1"
"69","909","0"
"146","909","1"
"109","911","2"
"137","912","2"
"73","921","2"
"28","921","1"
"77","837","1"
"153","6","3"
"153","34","2"
"153","48","2"
"153","49","3"
"153","64","3"
"153","84","1"
"153","91","3"
"153","123","1"
"153","161","2"
"153","217","3"
"153","223","3"
"153","379","3"
"153","400","2"
"153","416","2"
"153","503","3"
"153","570","1"
"153","640","1"
"153","669","1"
"153","829","1"
"153","837","1"
"77","48","3"
"17","387","2"
"154","69","3"
"154","113","1"
"154","114","1"
"154","115","2"
"154","439","1"
"154","585","3"
"154","704","2"
"154","836","2"
"154","855","2"
"154","859","2"
"154","907","1"
"154","387","2"
"17","704","2"
"18","922","2"
"155","197","3"
"155","263","2"
"155","257","0"
"155","306","2"
"155","307","2"
"155","310","3"
"155","450","0"
"155","712","0"
"155","830","1"
"155","758","1"
"155","841","1"
"10","345","1"
"156","257","0"
"156","263","2"
"156","306","3"
"156","307","2"
"156","450","2"
"156","830","0"
"156","310","3"
"156","758","1"
"156","841","1"
"156","265","2"
"156","172","2"
"156","379","2"
"157","64","3"
"157","461","1"
"157","379","3"
"157","332","1"
"157","330","3"
"157","509","3"
"157","12","0"
"157","148","2"
"157","212","1"
"9","379","3"
"149","70","2"
"149","15","1"
"149","912","2"
"149","433","0"
"58","85","0"
"26","85","1"
"158","85","1"
"158","318","2"
"158","327","1"
"158","352","2"
"158","649","0"
"158","526","2"
"158","531","1"
"158","70","0"
"28","923","3"
"73","923","3"
"159","5","1"
"159","26","3"
"159","37","3"
"159","38","3"
"159","352","2"
"159","327","1"
"159","189","1"
"159","480","3"
"159","706","0"
"73","924","2"
"128","924","1"
"129","924","1"
"160","98","2"
"160","186","2"
"160","192","2"
"160","193","2"
"160","829","1"
"160","799","1"
"160","319","1"
"160","879","2"
"160","926","2"
"73","914","2"
"53","426","2"
"53","386","0"
"53","427","2"
"53","914","2"
"84","915","2"
"139","916","2"
"139","917","2"
"133","918","1"
"52","920","2"
"52","900","2"
"52","902","1"
"139","920","2"
"162","28","2"
"162","854","2"
"162","387","2"
"162","790","2"
"162","27","2"
"162","506","1"
"162","664","2"
"162","859","0"
"160","918","0"
"163","55","1"
"163","340","1"
"163","424","0"
"163","436","3"
"163","491","1"
"163","830","1"
"163","318","2"
"163","172","2"
"163","562","2"
"164","20","2"
"164","31","1"
"164","82","1"
"164","107","3"
"164","146","2"
"164","184","2"
"164","536","2"
"164","409","1"
"164","461","1"
"164","812","1"
"164","815","1"
"164","226","1"
"164","251","1"
"164","736","1"
"164","483","1"
"164","903","0"
"94","20","1"
"94","145","1"
"94","372","3"
"94","226","3"
"94","469","1"
"94","337","1"
"94","736","1"
"164","372","3"
"114","929","1"
"165","330","3"
"165","365","2"
"165","873","3"
"165","176","1"
"165","107","3"
"165","172","1"
"165","735","3"
"165","251","3"
"165","736","3"
"165","395","3"
"165","34","1"
"3","930","2"
"81","931","1"
"56","932","2"
"56","933","2"
"12","934","2"
"6","934","2"
"62","934","2"
"35","934","2"
"58","185","2"
"58","510","1"
"58","78","1"
"58","172","1"
"58","652","1"
"58","653","0"
"58","377","0"
"33","213","2"
"170","65","2"
"170","170","1"
"170","185","2"
"170","492","1"
"170","591","0"
"170","616","2"
"170","585","3"
"170","618","0"
"170","617","3"
"170","503","3"
"170","372","2"
"170","246","3"
"170","378","3"
"170","114","1"
"170","885","2"
"170","113","1"
"170","657","1"
"170","855","2"
"170","924","2"
"170","908","2"
"7","513","2"
"171","334","2"
"171","542","2"
"171","809","0"
"171","483","0"
"171","771","2"
"171","934","2"
"171","373","3"
"171","371","2"
"171","653","0"
"171","652","1"
"172","937","1"
"172","925","2"
"172","660","1"
"172","568","3"
"172","768","2"
"172","767","0"
"172","766","0"
"172","474","2"
"172","731","2"
"172","570","1"
"172","87","1"
"172","252","2"
"172","145","1"
"98","937","1"
"173","401","1"
"173","939","1"
"173","139","1"
"173","446","2"
"173","388","2"
"173","549","2"
"173","393","1"
"173","394","1"
"173","795","2"
"173","76","0"
"173","187","2"
"173","1","1"
"173","652","1"
"173","172","1"
"173","185","1"
"173","411","1"
"173","538","0"
"174","940","2"
"174","931","2"
"174","248","2"
"174","707","2"
"174","930","2"
"174","403","0"
"174","741","2"
"174","909","0"
"174","725","0"
"7","943","0"
"45","943","1"
"118","943","1"
"154","944","1"
"175","69","3"
"175","113","1"
"175","114","1"
"175","439","1"
"175","585","3"
"175","859","0"
"175","907","1"
"175","944","1"
"175","387","2"
"175","885","2"
"175","855","2"
"175","115","2"
"175","617","1"
"175","949","0"
"175","687","1"
"175","224","1"
"69","946","1"
"69","371","1"
"69","213","1"
"176","133","1"
"176","146","2"
"176","183","1"
"176","322","1"
"176","369","2"
"176","442","1"
"176","483","1"
"176","565","1"
"176","757","0"
"176","776","1"
"176","778","3"
"176","833","1"
"176","946","1"
"176","213","0"
"176","865","1"
"176","302","2"
"35","947","2"
"177","948","2"
"177","751","2"
"177","321","1"
"177","613","1"
"177","723","0"
"177","350","0"
"154","949","0"
"178","113","2"
"178","115","2"
"178","440","1"
"178","617","2"
"178","585","3"
"178","832","0"
"178","439","1"
"178","340","1"
"178","829","1"
"178","768","2"
"39","752","2"
"50","950","2"
"29","951","1"
"123","951","1"
"138","951","1"
"88","951","1"
"175","951","1"
"179","347","2"
"179","71","2"
"179","606","1"
"179","163","2"
"179","951","1"
"179","164","1"
"179","165","1"
"179","545","0"
"179","25","1"
"179","447","1"
"179","162","1"
"179","679","1"
"179","903","1"
"179","895","2"
"179","172","2"
"180","876","3"
"180","856","2"
"180","852","2"
"180","875","3"
"180","424","2"
"180","464","1"
"180","534","1"
"180","573","1"
"180","907","1"
"180","367","1"
"180","126","2"
"88","952","1"
"20","139","2"
"181","139","2"
"181","401","1"
"181","317","2"
"181","446","2"
"181","125","1"
"181","697","1"
"181","670","1"
"181","309","2"
"181","197","1"
"182","4","1"
"182","13","0"
"173","954","1"
"20","955","2"
"10","955","2"
"139","956","0"
"173","958","2"
"183","542","2"
"183","960","2"
"183","120","3"
"183","882","2"
"183","351","2"
"183","896","2"
"183","883","1"
"183","728","1"
"183","227","0"
"183","961","1"
"129","962","0"
"35","963","1"
"42","963","1"
"125","964","0"
"136","965","1"
"186","966","2"
"108","967","2"
"109","967","2"
"110","967","2"
"62","968","2"
"15","969","1"
"136","969","1"
"187","750","2"
"187","881","2"
"187","704","0"
"187","138","2"
"187","480","3"
"187","553","2"
"187","937","1"
"187","782","1"
"187","492","2"
"187","126","0"
"187","209","2"
"187","469","0"
"187","484","2"
"187","698","0"
"187","437","1"
"110","971","2"
"188","972","1"
"188","25","1"
"188","172","1"
"188","653","1"
"188","721","1"
"188","364","1"
"188","213","1"
"188","483","0"
"188","732","1"
"188","212","2"
"188","199","0"
"188","377","0"
"189","39","2"
"189","52","0"
"189","876","3"
"189","492","1"
"189","599","1"
"189","287","1"
"189","368","2"
"189","914","2"
"189","471","1"
"189","973","2"
"7","974","1"
"49","974","1"
"115","862","1"
"115","974","1"
"69","862","1"
"69","974","1"
"123","975","0"
"156","975","0"
"163","978","3"
"147","978","1"
"105","978","2"
"105","149","1"
"105","464","1"
"105","236","2"
"105","154","1"
"105","557","0"
"105","590","1"
"105","290","1"
"105","827","0"
"105","829","1"
"87","979","1"
"105","979","1"
"21","981","1"
"28","981","1"
"73","981","2"
"176","983","1"
"183","983","1"
"35","983","1"
"35","984","0"
"183","985","2"
"69","986","1"
"10","987","2"
"20","987","2"
"173","988","2"
"20","988","2"
"66","988","2"
"170","989","2"
"69","989","2"
"115","990","1"
"2","991","1"
"160","992","0"
"26","992","0"
"73","992","1"
"129","993","1"
"114","990","1"
"115","994","1"
"123","997","0"
"171","937","1"
"190","896","2"
"190","358","2"
"190","714","1"
"190","883","2"
"190","85","0"
"190","893","1"
"190","999","2"
"139","999","2"
"191","877","2"
"191","999","2"
"191","707","2"
"191","140","2"
"191","882","2"
"191","218","1"
"191","890","2"
"191","920","2"
"191","510","1"
"191","698","1"
"191","960","2"
"191","189","2"
"191","86","0"
"191","291","0"
"190","707","2"
"191","930","2"
"191","1000","2"
"192","999","2"
"192","707","2"
"192","140","2"
"192","510","1"
"192","960","2"
"192","930","2"
"192","1000","2"
"192","48","1"
"192","217","1"
"192","335","2"
"192","336","2"
"192","337","1"
"193","38","1"
"193","796","2"
"193","189","2"
"193","882","2"
"193","999","2"
"193","707","2"
"193","140","2"
"193","510","1"
"193","960","2"
"193","86","2"
"193","930","2"
"193","1000","2"
"193","1001","3"
"194","5","1"
"194","38","1"
"194","37","1"
"194","26","3"
"194","1001","3"
"194","352","2"
"194","86","2"
"194","404","2"
"194","728","1"
"194","725","0"
"194","896","2"
"194","140","2"
"194","777","3"
"126","1001","3"
"195","5","1"
"195","1001","3"
"195","26","3"
"195","728","1"
"195","777","3"
"195","563","2"
"195","527","1"
"195","98","2"
"195","186","2"
"195","358","2"
"130","885","2"
"130","1001","3"
"130","660","1"
"130","218","1"
"130","437","1"
"159","531","0"
"159","437","1"
"159","209","2"
"139","1002","2"
"196","126","0"
"196","140","2"
"196","191","2"
"196","204","2"
"196","947","2"
"196","321","1"
"196","613","1"
"196","689","1"
"196","724","2"
"196","810","0"
"196","542","1"
"196","628","2"
"196","662","0"
"196","185","2"
"196","510","1"
"196","652","1"
"196","377","0"
"112","1003","2"
"197","524","1"
"197","483","0"
"197","1004","1"
"197","1003","3"
"197","775","1"
"197","469","2"
"197","848","1"
"198","1003","2"
"198","1004","1"
"198","213","0"
"198","424","0"
"198","852","0"
"67","1007","0"
"68","1007","1"
"199","599","2"
"199","732","2"
"199","590","2"
"199","45","2"
"199","117","2"
"199","377","2"
"199","576","0"
"199","464","1"
"199","367","0"
"199","997","0"
"199","451","2"
"199","212","1"
"199","1011","2"
"100","1012","2"
"34","1013","2"
"34","627","2"
"100","636","2"
"39","1014","2"
"118","1015","2"
"89","1016","2"
"28","1017","0"
"88","1017","0"
"88","1018","0"
"88","1019","0"
"88","1020","0"
"73","1020","0"
"73","52","0"
"73","1019","0"
"112","1022","1"
"200","14","3"
"200","192","2"
"200","193","2"
"200","319","3"
"200","469","2"
"200","524","1"
"200","527","3"
"200","529","1"
"200","799","2"
"125","1024","2"
"201","230","1"
"201","310","3"
"201","180","2"
"201","653","0"
"201","599","1"
"201","703","3"
"201","1024","2"
"201","25","1"
"201","377","0"
"201","126","0"
"201","875","1"
"201","172","1"
"201","417","2"
"201","46","1"
"201","447","1"
"201","550","1"
"201","1025","2"
"201","55","1"
"201","1026","3"
"160","1027","1"
"201","1029","1"
"202","209","2"
"202","381","2"
"202","229","0"
"202","562","2"
"202","620","2"
"202","318","2"
"202","85","0"
"202","119","0"
"202","211","1"
"202","327","1"
"202","525","0"
"203","85","0"
"203","209","2"
"203","318","2"
"203","525","2"
"203","562","2"
"203","531","1"
"203","211","1"
"203","451","0"
"203","26","3"
"203","352","2"
"28","1030","0"
"204","1030","2"
"204","391","3"
"204","451","2"
"204","25","1"
"204","172","2"
"204","213","2"
"204","433","0"
"204","912","2"
"204","503","1"
"204","687","1"
"204","377","2"
"204","652","1"
"205","205","3"
"205","617","1"
"205","687","3"
"205","185","1"
"205","773","1"
"205","1","1"
"205","546","1"
"205","599","1"
"205","1030","2"
"205","377","1"
"205","451","2"
"205","38","1"
"205","52","0"
"205","1018","0"
"205","510","1"
"205","973","2"
"205","310","2"
"205","1017","0"
"205","492","1"
"62","1030","0"
"206","1030","0"
"206","913","1"
"206","977","2"
"206","931","2"
"206","744","0"
"206","590","2"
"206","763","2"
"206","199","0"
"206","425","2"
"206","441","0"
"206","890","2"
"205","1034","3"
"204","1034","3"
"48","1035","1"
"87","1035","1"
"58","1035","1"
"207","1035","1"
"207","1032","2"
"207","1034","2"
"207","895","0"
"207","973","2"
"207","185","2"
"207","377","2"
"207","59","3"
"207","68","3"
"207","493","2"
"196","1037","2"
"208","188","2"
"208","26","3"
"208","1037","2"
"208","890","0"
"64","253","2"
"209","464","1"
"209","367","1"
"209","280","2"
"209","548","2"
"209","573","1"
"209","1007","0"
"209","545","0"
"209","406","0"
"210","45","2"
"211","557","2"
"211","241","1"
"211","590","2"
"211","290","1"
"211","1034","3"
"211","122","1"
"211","45","2"
"211","117","2"
"211","732","1"
"211","451","0"
"211","716","2"
"199","1038","1"
"209","1039","1"
"212","199","1"
"212","545","1"
"212","590","2"
"212","1034","3"
"212","538","1"
"88","440","0"
"88","439","1"
"154","951","1"
"175","790","2"
"199","1040","2"
"7","1041","2"
"12","510","1"
"45","510","1"
"57","510","1"
"89","510","1"
"89","191","2"
"89","729","2"
"89","350","0"
"213","140","2"
"213","191","2"
"213","302","2"
"213","204","2"
"213","510","1"
"213","689","1"
"213","182","2"
"213","26","3"
"213","810","0"
"213","809","0"
"213","443","0"
"214","8","2"
"214","9","2"
"214","140","2"
"214","183","1"
"214","191","2"
"214","204","2"
"214","302","0"
"214","510","1"
"214","809","0"
"214","810","0"
"12","8","2"
"215","1043","2"
"215","126","2"
"215","997","2"
"215","1034","3"
"215","205","3"
"173","126","0"
"177","126","0"
"216","26","3"
"216","140","2"
"216","86","2"
"216","535","2"
"216","999","2"
"216","191","2"
"216","1044","2"
"24","1044","2"
"23","1044","2"
"177","1045","2"
"213","1045","2"
"35","1045","2"
"196","1045","2"
"62","1045","2"
"68","1045","2"
"118","1045","2"
"217","133","1"
"217","140","2"
"217","191","2"
"217","203","1"
"217","302","2"
"217","321","1"
"217","1045","2"
"217","1045","2"
"217","542","1"
"217","613","1"
"217","662","0"
"217","1015","2"
"217","689","3"
"217","724","2"
"173","1046","0"
"173","545","0"
"173","180","1"
"2","187","2"
"2","197","1"
"2","241","1"
"2","788","0"
"2","139","1"
"2","401","1"
"2","988","1"
"1","139","1"
"1","988","2"
"199","1041","1"
"199","1034","2"
"201","451","2"
"164","145","1"
"164","775","2"
"164","883","1"
"164","1034","3"
"18","126","0"
"18","393","1"
"218","36","2"
"218","343","2"
"218","991","1"
"218","180","2"
"218","788","2"
"218","197","1"
"218","310","1"
"218","1049","1"
"17","26","3"
"17","786","1"
"154","885","2"
"154","786","1"
"17","1050","0"
"154","1050","0"
"5","33","1"
"112","330","3"
"112","814","1"
"9","768","2"
"9","172","1"
"9","975","0"
"64","854","1"
"64","704","2"
"64","175","1"
"64","27","2"
"64","424","0"
"64","340","0"
"64","55","1"
"64","506","2"
"170","973","2"
"170","1034","3"
"170","1051","1"
"170","440","0"
"170","699","1"
"170","699","1"
"112","1052","2"
"219","72","2"
"219","778","3"
"219","1053","3"
"219","1054","3"
"219","623","2"
"219","1055","3"
"220","72","2"
"220","1054","3"
"220","629","2"
"220","1053","3"
"220","778","3"
"220","1055","3"
"219","1056","3"
"220","1056","3"
"221","72","2"
"221","1056","3"
"221","1054","3"
"221","631","2"
"221","1053","3"
"221","778","3"
"221","1055","3"
"222","72","2"
"222","1056","3"
"222","1054","3"
"222","1053","3"
"222","778","3"
"222","628","2"
"222","1055","3"
"223","1034","3"
"223","26","3"
"223","917","2"
"223","882","2"
"223","510","1"
"223","336","2"
"223","120","3"
"223","337","1"
"223","189","0"
"223","47","0"
"223","719","2"
"223","920","2"
"223","901","2"
"223","728","1"
"223","86","2"
"223","1036","0"
"223","140","2"
"223","1000","2"
"223","890","0"
"223","960","2"
"223","698","1"
"223","475","2"
"223","255","0"
"223","425","0"
"223","883","1"
"223","956","0"
"223","999","2"
"223","48","1"
"223","577","0"
"223","741","0"
"223","1047","2"
"224","26","3"
"224","47","0"
"224","1036","2"
"224","86","2"
"224","901","2"
"224","883","1"
"224","425","0"
"224","1034","3"
"224","475","2"
"224","577","2"
"224","189","2"
"224","890","2"
"224","917","2"
"224","920","2"
"224","956","0"
"224","719","2"
"224","741","0"
"224","200","0"
"224","698","1"
"224","856","0"
"224","852","0"
"224","606","1"
"224","653","0"
"224","213","0"
"224","599","1"
"225","26","3"
"225","47","0"
"225","1036","2"
"225","86","2"
"225","901","2"
"225","883","1"
"225","200","0"
"225","213","0"
"225","856","0"
"225","425","0"
"225","852","0"
"225","1034","3"
"225","475","2"
"225","577","0"
"225","189","2"
"225","599","0"
"225","606","1"
"225","890","2"
"225","653","0"
"225","920","2"
"225","698","0"
"225","719","2"
"225","741","0"
"208","47","0"
"208","1036","2"
"208","86","2"
"208","901","2"
"208","883","1"
"208","200","0"
"208","213","0"
"208","856","0"
"208","425","0"
"208","852","0"
"208","1034","3"
"208","475","2"
"208","577","0"
"208","189","2"
"208","599","0"
"208","606","1"
"208","653","0"
"208","920","2"
"208","956","0"
"208","698","0"
"208","719","2"
"208","741","0"
